# Fonte: Wikidata SPARQL (P31=comune italiano Q747074, P635=codice ISTAT, P625=coordinata)
# Licenza: CC0 1.0 (Wikidata) - https://www.wikidata.org/wiki/Wikidata:Licensing
# Data di scarico: 2026-08-18
# Rigenerazione: npx tsx scripts/fetch-wikidata-territorial.ts
istat_code,latitude,longitude
076030,40.074810,16.098180
076071,40.716667,15.683333
076055,40.083333,16.333333
076099,40.933333,15.733333
076089,40.583333,15.683333
076036,40.850000,16.033333
076015,40.483333,15.850000
076100,40.375070,15.735100
076083,40.545000,15.639167
076038,40.366667,16.100000
076043,41.050000,15.800000
076075,40.033333,16.300000
076073,40.683333,16.083333
077026,40.483333,16.250000
076067,40.912778,15.725556
076037,40.283889,15.889722
076049,40.283333,16.166667
076034,40.083333,16.200000
076021,40.783333,15.433333
076051,41.033333,15.966667
076047,40.916667,15.833333
076033,40.866667,15.850000
076078,40.016667,16.133333
076081,40.223040,15.909783
076040,40.090000,16.010833
076065,40.850000,15.500000
076077,40.233333,16.050000
076079,40.546944,15.557500
076074,40.190720,16.076350
077023,40.166667,16.516667
076014,40.616667,15.933333
076001,40.516667,15.783333
076007,40.733333,15.716667
076032,40.816667,15.700000
076087,40.127778,16.155278
077022,40.516667,16.550000
076029,40.383333,16.050000
076009,40.866667,16.016667
076069,40.216667,16.200000
076026,40.183333,16.183333
076016,40.150000,16.150000
076057,40.932222,15.981389
076004,40.516667,15.916667
076019,40.133333,16.083333
076076,40.816470,15.540430
077031,40.250000,16.700000
076053,40.750000,15.483333
076006,40.866667,15.650000
076031,40.116667,16.166667
077029,40.250000,16.466667
076046,40.374444,15.826111
076035,40.283333,16.133333
076011,40.950000,15.666667
076041,40.450000,15.966667
076024,40.533333,16.050000
076002,40.800000,15.950000
076039,40.133333,15.766667
076086,40.266667,15.966667
076060,40.750000,15.883333
077030,40.166667,16.450000
076028,40.116667,16.216667
076084,40.566667,15.550000
076010,40.679764,15.593819
076018,40.730680,15.924700
076058,40.836111,15.398806
076017,40.565900,16.072500
076042,40.047222,15.835833
076064,40.988670,15.695882
076022,40.000000,15.983333
076023,40.016667,15.983333
076050,40.240000,15.860000
076045,40.416667,15.733333
076088,39.983333,16.300000
076080,40.248520,16.270460
076066,40.916667,15.666667
077024,40.533333,16.316667
076061,40.516667,16.066667
077027,40.400000,16.233333
076085,40.133333,16.283333
076025,40.166667,15.983333
024029,45.550000,11.283333
026095,45.600000,12.166667
024113,45.750000,11.266667
023001,45.550000,10.766667
026059,45.723851,12.194218
024037,45.619167,11.226111
024047,45.516667,11.666667
026019,45.866667,12.433333
023024,45.483333,11.200000
026041,45.800000,12.616667
026072,45.922190,12.361370
024065,45.433333,11.666667
024086,45.773333,11.777778
023013,45.661120,10.893630
024088,45.706667,11.806944
024112,45.883333,11.366667
024072,45.566667,11.283333
024061,45.503690,11.412000
024083,45.566667,11.616667
023029,45.207290,11.138500
023004,45.358333,11.286111
026040,45.750000,12.316667
024121,45.433333,11.500000
026052,45.780278,12.419722
024035,45.583333,11.483333
024021,45.516667,11.716667
026091,45.733333,12.233333
026066,45.633333,11.950000
023021,45.350000,10.950000
024014,45.700000,11.566667
024106,45.850000,11.350000
023017,45.403671,11.175459
024013,45.600000,11.616667
024064,45.450000,11.683333
026045,45.831700,11.921300
026057,45.883333,12.166667
023030,45.585660,10.739970
023028,45.434630,11.186700
024022,45.333333,11.533333
024081,45.800000,11.733333
026082,45.783333,12.250000
024120,45.476822,11.375327
